,_id_x,ghi,ghi90,ghi10,ebh,dni,dni10,dni90,dhi,air_temp,zenith,azimuth,cloud_opacity,period_end,period_x,_id_y,period_y,pv_estimate
327,5b5ef3845f627d81d429d7fa,0,0,0,0,0,0,0,0,13,140,102,0,2018-07-30 11:30:00+00:00,PT30M,5b6830513f5a57edb3b7633b,PT30M,0.0
326,5b5efa5b5f627d81d429d7fc,0,0,0,0,0,0,0,0,13,146,108,0,2018-07-30 12:00:00+00:00,PT30M,5b6830513f5a57edb3b7633a,PT30M,0.0
325,5b5f01325f627d81d429d7fe,0,0,0,0,0,0,0,0,13,152,116,0,2018-07-30 12:30:00+00:00,PT30M,5b6830513f5a57edb3b76339,PT30M,0.0
324,5b5f08095f627d81d429d800,0,0,0,0,0,0,0,0,12,157,127,1,2018-07-30 13:00:00+00:00,PT30M,5b6830513f5a57edb3b76338,PT30M,0.0
323,5b5f0ee15f627d81d429d802,0,0,0,0,0,0,0,0,12,162,143,1,2018-07-30 13:30:00+00:00,PT30M,5b6830513f5a57edb3b76337,PT30M,0.0
322,5b5f15b95f627d81d429d804,0,0,0,0,0,0,0,0,12,164,165,1,2018-07-30 14:00:00+00:00,PT30M,5b6830513f5a57edb3b76336,PT30M,0.0
321,5b5f1c935f627d81d429d806,0,0,0,0,0,0,0,0,12,165,-168,1,2018-07-30 14:30:00+00:00,PT30M,5b6830513f5a57edb3b76335,PT30M,0.0
320,5b5f236a5f627d81d429d808,0,0,0,0,0,0,0,0,12,162,-145,1,2018-07-30 15:00:00+00:00,PT30M,5b6830513f5a57edb3b76334,PT30M,0.0
319,5b5f2a415f627d81d429d80a,0,0,0,0,0,0,0,0,11,158,-128,1,2018-07-30 15:30:00+00:00,PT30M,5b6830513f5a57edb3b76333,PT30M,0.0
318,5b5f31185f627d81d429d80c,0,0,0,0,0,0,0,0,11,152,-117,1,2018-07-30 16:00:00+00:00,PT30M,5b6830513f5a57edb3b76332,PT30M,0.0
317,5b5f37ef5f627d81d429d80e,0,0,0,0,0,0,0,0,11,147,-109,1,2018-07-30 16:30:00+00:00,PT30M,5b6830513f5a57edb3b76331,PT30M,0.0
316,5b5f3ec75f627d81d429d810,0,0,0,0,0,0,0,0,11,141,-102,1,2018-07-30 17:00:00+00:00,PT30M,5b6830513f5a57edb3b76330,PT30M,0.0
315,5b5f459e5f627d81d429d812,0,0,0,0,0,0,0,0,11,135,-97,1,2018-07-30 17:30:00+00:00,PT30M,5b6830513f5a57edb3b7632f,PT30M,0.0
314,5b5f4c755f627d81d429d814,0,0,0,0,0,0,0,0,11,128,-92,1,2018-07-30 18:00:00+00:00,PT30M,5b6830513f5a57edb3b7632e,PT30M,0.0
313,5b5f534d5f627d81d429d816,0,0,0,0,0,0,0,0,11,122,-88,1,2018-07-30 18:30:00+00:00,PT30M,5b6830513f5a57edb3b7632d,PT30M,0.0
312,5b5f5a275f627d81d429d818,0,0,0,0,0,0,0,0,11,116,-84,1,2018-07-30 19:00:00+00:00,PT30M,5b6830513f5a57edb3b7632c,PT30M,0.0
311,5b5f60fe5f627d81d429d81a,0,0,0,0,0,0,0,0,11,110,-80,0,2018-07-30 19:30:00+00:00,PT30M,5b6830513f5a57edb3b7632b,PT30M,0.0
310,5b5f67d55f627d81d429d81c,0,0,0,0,0,0,0,0,10,104,-76,0,2018-07-30 20:00:00+00:00,PT30M,5b6830513f5a57edb3b7632a,PT30M,0.0
309,5b5f6eac5f627d81d429d81e,0,0,0,0,0,0,0,0,10,98,-73,0,2018-07-30 20:30:00+00:00,PT30M,5b6830513f5a57edb3b76329,PT30M,0.0
308,5b5f75835f627d81d429d820,6,6,6,2,10,10,10,5,10,92,-69,0,2018-07-30 21:00:00+00:00,PT30M,5b6830513f5a57edb3b76328,PT30M,0.0
307,5b5f7c5a5f627d81d429d822,49,49,46,18,110,104,110,31,10,86,-64,0,2018-07-30 21:30:00+00:00,PT30M,5b6830513f5a57edb3b76327,PT30M,33.2678306907212
306,5b5f8a085f627d81d429d826,88,98,82,15,86,58,169,72,11,81,-60,30,2018-07-30 22:00:00+00:00,PT30M,5b6830513f5a57edb3b76326,PT30M,64.2248645999358
305,5b5f90df5f627d81d429d828,144,153,130,27,102,55,161,116,11,75,-55,33,2018-07-30 22:30:00+00:00,PT30M,5b6830513f5a57edb3b76325,PT30M,116.945439593038
304,5b5f97b65f627d81d429d82a,194,240,187,28,82,73,302,166,12,70,-49,35,2018-07-30 23:00:00+00:00,PT30M,5b6830513f5a57edb3b76324,PT30M,181.002317252889
303,5b5f9e8f5f627d81d429d82c,287,346,269,96,229,162,541,191,13,66,-44,24,2018-07-30 23:30:00+00:00,PT30M,5b6830513f5a57edb3b76323,PT30M,312.35259868056
302,5b5fa5665f627d81d429d82e,449,452,433,357,754,728,764,91,14,62,-37,1,2018-07-31 00:00:00+00:00,PT30M,5b6830513f5a57edb3b76322,PT30M,515.541265477738
301,5b5fac3e5f627d81d429d830,512,512,494,420,797,771,797,91,15,58,-30,1,2018-07-31 00:30:00+00:00,PT30M,5b6830513f5a57edb3b76321,PT30M,570.74615987095
300,5b5fb3155f627d81d429d832,557,557,538,461,827,799,827,95,16,56,-22,1,2018-07-31 01:00:00+00:00,PT30M,5b6830513f5a57edb3b76320,PT30M,612.921704408039
299,5b5fb9ec5f627d81d429d834,588,588,568,490,841,813,841,97,16,54,-14,2,2018-07-31 01:30:00+00:00,PT30M,5b6830513f5a57edb3b7631f,PT30M,639.253327641446
298,5b5fc0c35f627d81d429d836,603,603,583,505,843,815,843,98,17,53,-5,2,2018-07-31 02:00:00+00:00,PT30M,5b6830513f5a57edb3b7631e,PT30M,641.706583973793
297,5b5fc79b5f627d81d429d838,586,601,554,470,785,672,836,115,18,53,4,3,2018-07-31 02:30:00+00:00,PT30M,5b6830513f5a57edb3b7631d,PT30M,555.207689449034
296,5b5fce725f627d81d429d83a,509,525,417,322,554,202,613,187,18,54,13,13,2018-07-31 03:00:00+00:00,PT30M,5b6830513f5a57edb3b7631c,PT30M,538.413843010073
295,5b5fd5495f627d81d429d83c,554,556,526,455,815,745,822,98,19,56,21,2,2018-07-31 03:30:00+00:00,PT30M,5b6830513f5a57edb3b7631b,PT30M,586.898823453093
294,5b5fdc215f627d81d429d83e,506,507,481,410,788,713,793,95,19,58,29,1,2018-07-31 04:00:00+00:00,PT30M,5b6830513f5a57edb3b7631a,PT30M,539.005562081073
293,5b5fe2f75f627d81d429d840,438,450,368,335,712,380,765,103,19,62,36,3,2018-07-31 04:30:00+00:00,PT30M,5b6830513f5a57edb3b76319,PT30M,381.774068081528
292,5b5fe9d25f627d81d429d842,367,378,347,269,652,548,710,98,19,65,43,3,2018-07-31 05:00:00+00:00,PT30M,5b6830513f5a57edb3b76318,PT30M,421.034254446242
291,5b5ff0a95f627d81d429d844,298,298,284,221,657,607,657,77,19,70,49,10,2018-07-31 05:30:00+00:00,PT30M,5b6830513f5a57edb3b76317,PT30M,341.821293810188
290,5b5ff7805f627d81d429d846,207,211,197,135,532,483,562,71,19,75,54,1,2018-07-31 06:00:00+00:00,PT30M,5b6830513f5a57edb3b76316,PT30M,265.488999061128
289,5b5ffeb9923dac48e7720942,124,124,117,66,360,343,360,58,19,80,59,23,2018-07-31 06:30:00+00:00,PT30M,5b6830513f5a57edb3b76315,PT30M,159.799293615895
288,5b600590923dac48e7720944,48,48,45,14,88,86,88,33,19,85,64,27,2018-07-31 07:00:00+00:00,PT30M,5b6830513f5a57edb3b76314,PT30M,48.0041097036978
287,5b600c67923dac48e7720946,3,4,3,0,2,2,5,3,18,91,68,29,2018-07-31 07:30:00+00:00,PT30M,5b6830513f5a57edb3b76313,PT30M,1.25161287411984
286,5b60133e923dac48e7720948,0,0,0,0,0,0,0,0,18,97,72,31,2018-07-31 08:00:00+00:00,PT30M,5b6830513f5a57edb3b76312,PT30M,0.0
285,5b601a15923dac48e772094a,0,0,0,0,0,0,0,0,18,103,76,31,2018-07-31 08:30:00+00:00,PT30M,5b6830513f5a57edb3b76311,PT30M,0.0
284,5b6020ed923dac48e772094c,0,0,0,0,0,0,0,0,17,109,80,31,2018-07-31 09:00:00+00:00,PT30M,5b6830513f5a57edb3b76310,PT30M,0.0
283,5b6027c4923dac48e772094e,0,0,0,0,0,0,0,0,17,115,84,31,2018-07-31 09:30:00+00:00,PT30M,5b6830513f5a57edb3b7630f,PT30M,0.0
282,5b602e9b923dac48e7720950,0,0,0,0,0,0,0,0,17,121,88,30,2018-07-31 10:00:00+00:00,PT30M,5b6830513f5a57edb3b7630e,PT30M,0.0
281,5b603572923dac48e7720952,0,0,0,0,0,0,0,0,17,128,92,31,2018-07-31 10:30:00+00:00,PT30M,5b6830513f5a57edb3b7630d,PT30M,0.0
280,5b603c4a923dac48e7720954,0,0,0,0,0,0,0,0,16,134,97,29,2018-07-31 11:00:00+00:00,PT30M,5b6830513f5a57edb3b7630c,PT30M,0.0
279,5b604321923dac48e7720956,0,0,0,0,0,0,0,0,16,140,102,29,2018-07-31 11:30:00+00:00,PT30M,5b6830513f5a57edb3b7630b,PT30M,0.0
278,5b6049f8923dac48e7720958,0,0,0,0,0,0,0,0,16,146,108,20,2018-07-31 12:00:00+00:00,PT30M,5b6830513f5a57edb3b7630a,PT30M,0.0
277,5b6050ce923dac48e772095a,0,0,0,0,0,0,0,0,16,152,116,29,2018-07-31 12:30:00+00:00,PT30M,5b6830513f5a57edb3b76309,PT30M,0.0
276,5b6057a5923dac48e772095c,0,0,0,0,0,0,0,0,15,157,127,29,2018-07-31 13:00:00+00:00,PT30M,5b6830513f5a57edb3b76308,PT30M,0.0
275,5b605e7d923dac48e772095e,0,0,0,0,0,0,0,0,15,161,143,21,2018-07-31 13:30:00+00:00,PT30M,5b6830513f5a57edb3b76307,PT30M,0.0
